Country,Clicks,Impressions,CTR,Position
Guatemala,0.0,144.0,0.0,11.19
Iceland,0.0,139.0,0.0,10.88
Bolivia,0.0,103.0,0.0,13.36
Unknown Region,0.0,96.0,0.0,10.54
Brunei,0.0,87.0,0.0,7.38
Kosovo,0.0,77.0,0.0,7.39
Libya,0.0,77.0,0.0,10.61
Mauritius,0.0,71.0,0.0,7.06
Cuba,0.0,69.0,0.0,10.77
Laos,0.0,66.0,0.0,9.59
Yemen,0.0,63.0,0.0,8.6
Kyrgyzstan,0.0,62.0,0.0,10.61
Namibia,0.0,61.0,0.0,6.57
Angola,0.0,59.0,0.0,14.83
Afghanistan,0.0,57.0,0.0,9.79
Cameroon,0.0,57.0,0.0,9.81
Nicaragua,0.0,51.0,0.0,9.75
Botswana,0.0,47.0,0.0,9.28
Papua New Guinea,0.0,42.0,0.0,5.79
Rwanda,0.0,42.0,0.0,7.86
Seychelles,0.0,41.0,0.0,7.76
Malawi,0.0,33.0,0.0,7.15
Macau,0.0,32.0,0.0,7.5
Mozambique,0.0,31.0,0.0,8.68
Congo - Kinshasa,0.0,30.0,0.0,10.17
Lesotho,0.0,28.0,0.0,4.54
Somalia,0.0,28.0,0.0,8.04
Togo,0.0,27.0,0.0,7.56
Madagascar,0.0,27.0,0.0,7.78
Mali,0.0,26.0,0.0,10.27
Gabon,0.0,23.0,0.0,15.61
Swaziland,0.0,22.0,0.0,6.68
Bhutan,0.0,22.0,0.0,7.73
Haiti,0.0,21.0,0.0,8.43
Andorra,0.0,21.0,0.0,15.14
Gambia,0.0,21.0,0.0,15.33
Grenada,0.0,19.0,0.0,10.89
U.S. Virgin Islands,0.0,18.0,0.0,4.22
Mauritania,0.0,17.0,0.0,14.12
Fiji,0.0,16.0,0.0,5.81
Martinique,0.0,16.0,0.0,7.0
Liechtenstein,0.0,16.0,0.0,26.12
Suriname,0.0,15.0,0.0,4.0
Guinea,0.0,14.0,0.0,15.71
Timor-Leste,0.0,13.0,0.0,4.92
Monaco,0.0,13.0,0.0,9.54
Tajikistan,0.0,13.0,0.0,10.46
St. Kitts & Nevis,0.0,12.0,0.0,9.5
Congo - Brazzaville,0.0,12.0,0.0,15.42
Sierra Leone,0.0,11.0,0.0,7.18
Curaçao,0.0,11.0,0.0,11.09
Cape Verde,0.0,11.0,0.0,16.09
Turkmenistan,0.0,10.0,0.0,4.2
