url,status_live,status_inferred,redirect_target,gsc_clicks,gsc_impressions
https://thetubepackaging.com/product/empty-lipgloss-tubes/,challenged,200,,104,15857
https://thetubepackaging.com/cosmetic-tubes-complete-packaging-guide-for-beauty-product-manufacturers/,challenged,200,,89,13981
https://thetubepackaging.com/product/empty-lotion-tubes/,challenged,200,,108,13978
https://thetubepackaging.com/product/wrapping-paper-tubes/,challenged,200,,104,13495
https://thetubepackaging.com/product-category/custom-cardboard-tubes/,200,200,,7,13194
https://thetubepackaging.com/product/plastic-tube-packaging/,challenged,200,,34,12933
https://thetubepackaging.com/product/small-paper-tubes/,challenged,200,,39,12516
https://thetubepackaging.com/product/deodorant-paper-tubes/,challenged,200,,71,11877
https://thetubepackaging.com/product-category/mailing-tubes/,challenged,200,,3,11585
https://thetubepackaging.com/product/industrial-cardboard-tubes/,challenged,200,,109,11199
https://thetubepackaging.com/product/paper-towel-tubes/,challenged,200,,87,10815
https://thetubepackaging.com/product/paper-lipstick-tubes/,challenged,200,,55,10782
https://thetubepackaging.com/shop/,challenged,200,,8,10731
https://thetubepackaging.com/product-category/custom-paper-tubes/,challenged,200,,1,10020
https://thetubepackaging.com/product/kraft-paper-tubes/,challenged,200,,166,9955
https://thetubepackaging.com/product/skincare-tubes/,challenged,200,,39,9897
https://thetubepackaging.com/product/cylinder-mailing-tubes/,challenged,200,,98,9369
https://thetubepackaging.com/product/candle-tube-packaging/,challenged,200,,27,9093
https://thetubepackaging.com/product/paper-tubes/,challenged,200,,106,8326
https://thetubepackaging.com/product/lotion-tubes/,challenged,200,,97,8147
https://thetubepackaging.com/product/white-paper-tubes/,challenged,200,,81,8123
https://thetubepackaging.com/product/custom-shipping-tubes/,challenged,200,,111,7773
https://thetubepackaging.com/product-category/specialty-tubes/,challenged,200,,3,7125
https://thetubepackaging.com/product/square-paper-tubes/,challenged,200,,139,6347
https://thetubepackaging.com/product/white-lipstick-tubes/,challenged,200,,18,5382
https://thetubepackaging.com/product/kraft-paper-candle-tubes/,challenged,200,,40,4589
https://thetubepackaging.com/product/black-paper-candle-tubes/,challenged,200,,60,4067
https://thetubepackaging.com/product/white-paper-candle-tubes/,challenged,200,,47,4030
https://thetubepackaging.com/5-industries-that-can-benefit-most-from-cardboard-tube-packaging/,challenged,200,,34,3235
https://thetubepackaging.com/cardboard-tubes-for-business-effective-solutions-for-packaging-and-storage/,challenged,200,,7,3004
https://thetubepackaging.com/product-category/custom-plastic-tubes/,challenged,200,,0,2834
https://thetubepackaging.com/6-design-ideas-for-custom-square-paper-tubes/,challenged,200,,13,1416
https://thetubepackaging.com/about-us/,challenged,200,,13,1323
https://thetubepackaging.com/contact-us/,challenged,200,,8,1134
https://thetubepackaging.com/5-ways-large-cardboard-tubes-boost-product-protection/,challenged,200,,2,968
https://thetubepackaging.com/the-ultimate-guide-to-tube-packaging-from-food-to-industrial-applications/,challenged,200,,4,873
https://thetubepackaging.com/why-wrapping-paper-tubes-are-the-future-of-gift-packaging/,challenged,200,,2,702
https://thetubepackaging.com/refund_returns/,challenged,200,,1,375
https://thetubepackaging.com/terms-conditions/,challenged,200,,1,235
https://thetubepackaging.com/privacy-policy/,challenged,200,,0,182
https://thetubepackaging.com/product/plastic-tube-packaging/?add-to-cart=201,challenged,200,,0,117
https://thetubepackaging.com/thank-you/,challenged,200,,0,60
https://thetubepackaging.com/category/information/,challenged,200,,0,51
https://thetubepackaging.com/wp-content/uploads/2024/07/Packaging-Luxury-Tube.jpg,challenged,200,,0,49
https://thetubepackaging.com/wp-content/uploads/2024/07/Custom-Cosmetic-Tubes.jpg,challenged,200,,1,35
https://thetubepackaging.com/wp-content/uploads/2024/07/Empty-Lipgloss-Packaging.jpg,challenged,200,,0,33
https://thetubepackaging.com/wp-content/uploads/2024/07/Tube-Luxury-Packaging.jpg,challenged,200,,0,31
https://thetubepackaging.com/shop/page/3/,challenged,200,,0,26
https://thetubepackaging.com/product/square-paper-tubes/?add-to-cart=106,challenged,200,,0,22
https://thetubepackaging.com/wp-content/uploads/2024/07/Cardboard-Toilet-Packaging.jpg,challenged,200,,0,18
https://thetubepackaging.com/wp-content/uploads/2024/07/Food-Packaging.jpg,challenged,200,,0,18
https://thetubepackaging.com/wp-content/uploads/2024/07/Custom-Paper-Lip-Balm-packaging.jpg,challenged,200,,1,15
https://thetubepackaging.com/product/cosmetic-tubes/?add-to-cart=206,challenged,200,,0,14
https://thetubepackaging.com/shop/page/2/,200,200,,0,13
https://thetubepackaging.com/product/cardboard-toilet-paper/?add-to-cart=164,challenged,200,,0,13
